date,period,value
2020-04-30,2020-03-31,13538892.42
2020-08-28,2020-06-30,44800146.73
2020-10-30,2020-09-30,42038772.63
2021-04-30,2021-03-31,63847601.57
2021-08-27,2021-06-30,547392.79
2021-10-29,2021-09-30,165973854.34
2022-04-29,2022-03-31,63266166.07
2022-10-28,2022-09-30,386412.99
2023-04-28,2023-03-31,86763.02
2023-08-30,2023-06-30,103724619.18
2023-10-27,2023-09-30,103761186.46
2024-04-30,2024-03-31,31184.56
2024-08-30,2024-06-30,493010.62
2024-10-31,2024-09-30,36043239.69
2025-03-29,2024-12-31,2931599.5
2025-08-29,2025-06-30,350865.71
2025-10-31,2025-09-30,275524.28
2026-03-31,2025-12-31,66944697.8
