date,period,value
2020-09-08,2020-06-30,764084181.3
2020-10-26,2020-09-30,1454964000.0
2021-04-27,2020-03-31,186750000.0
2021-04-27,2020-12-31,966874185.84
2021-04-27,2021-03-31,186846000.0
2021-08-28,2021-06-30,527530327.22
2021-10-26,2021-09-30,1048834000.0
2022-03-30,2021-12-31,1161217432.94
2022-04-28,2022-03-31,90029000.0
2022-08-27,2022-06-30,978436362.09
2022-10-26,2022-09-30,1033405000.0
2023-04-28,2022-12-31,1335542374.66
2023-04-28,2023-03-31,74219000.0
2023-08-29,2023-06-30,855389948.55
2023-10-31,2023-09-30,834741000.0
2024-04-30,2023-12-31,1274311208.95
2024-04-30,2024-03-31,74493000.0
2024-08-29,2024-06-30,930327359.16
2024-10-31,2024-09-30,1047324000.0
2025-04-29,2024-12-31,1492091298.84
2025-04-29,2025-03-31,72757000.0
2025-08-29,2025-06-30,576036555.61
2025-10-30,2025-09-30,648756000.0
