date,period,value
2020-09-08,2020-06-30,16391098200.63
2020-10-26,2020-09-30,23039363000.0
2021-04-27,2020-03-31,6781157000.0
2021-04-27,2020-12-31,32518019972.22
2021-04-27,2021-03-31,9388662000.0
2021-08-28,2021-06-30,20770534107.44
2021-10-26,2021-09-30,28317383000.0
2022-03-30,2021-12-31,34493429482.83
2022-04-28,2022-03-31,6095657000.0
2022-08-27,2022-06-30,10007107264.25
2022-10-26,2022-09-30,15596344000.0
2023-04-28,2022-12-31,25976858477.53
2023-04-28,2023-03-31,2241682000.0
2023-08-29,2023-06-30,1485247085.26
2023-10-31,2023-09-30,3140143000.0
2024-04-30,2023-12-31,10128677048.3
2024-04-30,2024-03-31,887895000.0
2024-08-29,2024-06-30,4246440302.27
2025-04-29,2025-03-31,5220655000.0
2025-08-29,2025-06-30,15846176548.85
2025-10-30,2025-09-30,29683675000.0
