date,period,value
2020-10-26,2020-09-30,-7678000.0
2021-04-27,2021-03-31,11068000.0
2021-08-28,2021-06-30,100970.7
2021-10-26,2021-09-30,-4031000.0
2022-03-30,2021-12-31,-6394425.17
2022-04-28,2022-03-31,10690000.0
2022-08-27,2022-06-30,7378914.91
2022-10-26,2022-09-30,24784000.0
2023-04-28,2022-12-31,1401002.26
2023-04-28,2023-03-31,14322000.0
2023-08-29,2023-06-30,14079925.1
2023-10-31,2023-09-30,9875000.0
2024-04-30,2023-12-31,4304633.27
2024-04-30,2024-03-31,16184000.0
2024-10-31,2024-09-30,24306000.0
2025-04-29,2024-12-31,28082616.74
2025-04-29,2025-03-31,11378000.0
2025-08-29,2025-06-30,27530324.71
2025-10-30,2025-09-30,13635000.0
