date,period,value
2020-04-30,2020-03-31,11427985.93
2020-08-28,2020-06-30,11843235.06
2020-10-31,2020-09-30,15165564.55
2021-04-21,2021-03-31,700.0
2021-10-30,2021-09-30,27740.0
2022-03-26,2021-12-31,54610.0
2023-03-30,2022-12-31,2246.26
2023-04-22,2023-03-31,5800.0
2023-08-31,2023-06-30,4362564.79
2023-10-28,2023-09-30,8688784.47
2024-03-29,2023-12-31,27910148.17
2024-04-27,2024-03-31,89774595.52
2024-08-31,2024-06-30,144656802.36
2024-10-31,2024-09-30,1340580.0
2025-03-29,2024-12-31,16126760.68
2025-04-30,2025-03-31,432160.0
2025-08-30,2025-06-30,896398.0
