date,period,value
2020-04-30,2020-03-31,244659836.65
2020-08-28,2020-06-30,513950325.0
2020-10-31,2020-09-30,873101612.73
2021-03-31,2020-12-31,1172198286.83
2021-04-21,2021-03-31,433724478.88
2021-08-28,2021-06-30,721448578.2
2021-10-30,2021-09-30,1176110582.36
2022-03-26,2021-12-31,1636808462.51
2022-04-30,2022-03-31,303072410.64
2022-08-23,2022-06-30,509292836.37
2022-10-29,2022-09-30,772385680.85
2023-03-30,2022-12-31,1033289934.02
2023-04-22,2023-03-31,175921184.98
2023-08-31,2023-06-30,354691731.73
2023-10-28,2023-09-30,539642754.83
2024-03-29,2023-12-31,745988329.71
2024-04-27,2024-03-31,152861490.42
2024-08-31,2024-06-30,319162088.55
2024-10-31,2024-09-30,465801539.05
2025-03-29,2024-12-31,810071316.09
2025-04-30,2025-03-31,225295645.08
2025-08-30,2025-06-30,424854336.38
2025-10-31,2025-09-30,740872934.93
2026-03-28,2025-12-31,977047974.27
