date,period,value
2021-05-12,2020-12-31,2676078883.64
2021-05-12,2021-03-31,112284822.89
2021-08-25,2021-06-30,1995219000.0
2021-10-28,2021-09-30,1193172000.0
2022-03-31,2021-12-31,1691901000.0
2022-04-30,2022-03-31,547155000.0
2022-08-25,2022-06-30,381900000.0
2022-10-31,2022-09-30,46549000.0
2023-04-29,2023-03-31,944917000.0
2023-08-23,2023-06-30,3974568000.0
2023-10-31,2023-09-30,1348674000.0
2024-03-28,2023-12-31,297284000.0
2024-10-31,2024-09-30,199029000.0
2025-08-27,2025-06-30,194828000.0
2025-10-29,2025-09-30,515056000.0
2026-03-27,2025-12-31,682494000.0
