date,period,value
2020-04-21,2020-03-31,-6312563.1
2020-08-18,2020-06-30,-6154146.88
2020-10-28,2020-09-30,-7754797.5
2021-04-27,2020-12-31,-12353306.75
2021-04-27,2021-03-31,1467692.29
2021-08-26,2021-06-30,-3270444.05
2021-10-22,2021-09-30,-5964047.34
2022-04-20,2021-12-31,-5965880.44
2022-04-20,2022-03-31,-1980786.23
2022-08-30,2022-06-30,-523154.83
2022-10-29,2022-09-30,-3334829.97
2023-04-29,2022-12-31,546505.42
2023-04-29,2023-03-31,3803328.86
2023-08-22,2023-06-30,5397214.84
2023-10-28,2023-09-30,12290939.61
2024-04-23,2023-12-31,11859910.2
2024-04-27,2024-03-31,-138789.95
2024-08-20,2024-06-30,-95150.52
2024-10-29,2024-09-30,400788.19
2025-04-15,2024-12-31,2812670.5
2025-04-22,2025-03-31,5345194.63
2025-08-19,2025-06-30,7858175.91
2025-10-18,2025-09-30,12001919.16
