date,period,value
2020-04-25,2020-03-31,119674337.49
2020-08-31,2020-06-30,109868116.61
2020-10-31,2020-09-30,231140319.28
2021-04-27,2020-12-31,206243682.97
2021-04-30,2021-03-31,55583990.02
2021-08-21,2021-06-30,83141990.39
2021-10-30,2021-09-30,387212656.41
2022-04-28,2021-12-31,525191197.34
2022-04-28,2022-03-31,112084462.06
2022-08-23,2022-06-30,492036152.71
2022-10-31,2022-09-30,467542932.9
2023-04-08,2022-12-31,752685409.26
2023-04-25,2023-03-31,239608173.78
2023-08-15,2023-06-30,330172142.4
2023-10-31,2023-09-30,280112784.98
2024-04-23,2023-12-31,391096420.53
2024-04-30,2024-03-31,656934215.85
2024-08-17,2024-06-30,570729730.34
2024-10-26,2024-09-30,423896744.99
2025-03-26,2024-12-31,271840002.65
2025-04-29,2025-03-31,276848394.48
2025-08-29,2025-06-30,298454940.25
2025-10-29,2025-09-30,2111806367.59
2026-03-28,2025-12-31,1016705582.5
