date,period,value
2020-05-18,2020-03-31,-592619253.09
2020-08-28,2020-06-30,-802330589.45
2020-10-30,2020-09-30,-866436192.84
2021-04-28,2020-12-31,-1860515706.91
2021-04-30,2021-03-31,-77063641.56
2021-08-20,2021-06-30,-362281086.53
2021-10-30,2021-09-30,-604081048.14
2022-04-29,2021-12-31,-36091773.37
2022-04-29,2022-03-31,-169541495.87
2022-08-31,2022-06-30,-920234016.45
2022-10-31,2022-09-30,-2193220275.89
2023-04-29,2022-12-31,-2424286776.06
2023-04-29,2023-03-31,-760491159.96
2023-08-31,2023-06-30,-1507670862.0
2023-10-31,2023-09-30,-1991028721.6
2024-03-29,2023-12-31,-2552147226.64
2024-04-30,2024-03-31,-827689193.74
2024-08-31,2024-06-30,-636004680.14
2024-10-31,2024-09-30,-647079082.62
2025-04-18,2024-12-31,-1190846651.34
2025-04-30,2025-03-31,-444525245.6
2025-08-29,2025-06-30,-516947797.32
2025-10-31,2025-09-30,-1276185608.38
