date,period,value
2020-05-18,2020-03-31,4999317784.55
2020-08-28,2020-06-30,5161661870.65
2020-10-30,2020-09-30,4938037533.77
2021-04-28,2020-12-31,4154364436.44
2021-04-30,2021-03-31,3793115925.34
2021-08-20,2021-06-30,3231489894.83
2021-10-30,2021-09-30,2757768079.8
2022-04-29,2021-12-31,2754050699.97
2022-04-29,2022-03-31,2706607013.24
2022-08-31,2022-06-30,3362344877.54
2022-10-31,2022-09-30,4419693859.46
2023-04-29,2022-12-31,5383734052.23
2023-04-29,2023-03-31,5111073893.31
2023-08-31,2023-06-30,6009819375.15
2023-10-31,2023-09-30,5385962644.4
2024-03-29,2023-12-31,4972125317.17
2024-04-30,2024-03-31,4843949292.69
2024-08-31,2024-06-30,4354377997.2
2024-10-31,2024-09-30,4156809543.65
2025-04-18,2024-12-31,3793674270.49
2025-04-30,2025-03-31,3829054231.07
2025-08-29,2025-06-30,3847115408.34
2025-10-31,2025-09-30,3650564352.98
