date,period,value
2020-04-28,2020-03-31,63240131.64
2020-08-29,2020-06-30,67527187.64
2020-10-30,2020-09-30,67722543.64
2021-04-17,2020-12-31,9316975.59
2021-04-29,2021-03-31,81120.0
2021-08-26,2021-06-30,360807.99
2021-10-30,2021-09-30,352157.99
2022-04-29,2021-12-31,685605.38
2022-04-29,2022-03-31,3626131.85
2022-08-24,2022-06-30,9959090.91
2022-10-29,2022-09-30,9746220.31
2023-04-22,2022-12-31,43425479.73
2023-04-29,2023-03-31,61334.0
2023-08-26,2023-06-30,1139520.0
2023-10-28,2023-09-30,1546700.0
2024-04-18,2023-12-31,3547477.65
2024-04-27,2024-03-31,1028322.91
2024-08-29,2024-06-30,1080416.31
2024-10-30,2024-09-30,50936043.22
2025-04-12,2024-12-31,141257136.16
2025-04-29,2025-03-31,508729.5
2025-08-30,2025-06-30,2502281.15
2025-10-30,2025-09-30,5184481.15
2026-04-11,2025-12-31,19498817.69
