date,period,value
2020-04-30,2020-03-31,16290642000.0
2020-08-27,2020-06-30,12890832000.0
2020-10-31,2020-09-30,12382679000.0
2021-04-28,2020-12-31,13312316000.0
2021-04-28,2021-03-31,11041548000.0
2021-08-28,2021-06-30,9192272000.0
2021-10-30,2021-09-30,8370086000.0
2022-04-30,2021-12-31,7932978000.0
2022-04-30,2022-03-31,7194176000.0
2022-08-31,2022-06-30,6538163000.0
2022-10-28,2022-09-30,5085873000.0
2023-04-29,2022-12-31,4164903000.0
2023-04-29,2023-03-31,11602805000.0
2023-08-31,2023-06-30,8932746000.0
2023-10-31,2023-09-30,12023236000.0
2024-04-26,2023-12-31,12226636000.0
2024-04-26,2024-03-31,10132421000.0
2024-08-29,2024-06-30,11310348000.0
2024-10-30,2024-09-30,10983779000.0
2025-04-25,2024-12-31,12295716000.0
2025-04-25,2025-03-31,11569077000.0
2025-08-29,2025-06-30,10078226000.0
2025-10-31,2025-09-30,11912213000.0
