date,period,value
2020-04-29,2020-03-31,-0.01
2020-08-29,2020-06-30,0.35
2020-10-31,2020-09-30,0.54
2021-03-27,2020-12-31,0.72
2021-04-30,2021-03-31,0.11
2021-08-28,2021-06-30,0.63
2021-10-30,2021-09-30,0.74
2022-03-26,2021-12-31,0.94
2022-04-30,2022-03-31,0.27
2022-08-27,2022-06-30,0.69
2022-10-29,2022-09-30,1.16
2023-04-01,2022-12-31,1.54
2023-04-29,2023-03-31,0.32
2023-08-26,2023-06-30,0.8
2023-10-31,2023-09-30,1.16
2024-03-29,2023-12-31,1.71
2024-04-30,2024-03-31,0.08
2024-08-24,2024-06-30,0.5
2024-10-31,2024-09-30,0.76
2025-03-29,2024-12-31,0.89
2025-04-30,2025-03-31,0.2
2025-08-30,2025-06-30,0.39
2025-10-31,2025-09-30,0.62
2026-03-28,2025-12-31,1.07
