date,period,value
2020-08-28,2020-06-30,40713000.0
2020-10-30,2020-09-30,-97705000.0
2021-03-31,2020-12-31,-249938000.0
2021-04-29,2020-03-31,41562000.0
2021-04-29,2021-03-31,13959000.0
2021-08-31,2021-06-30,-42953000.0
2021-10-30,2021-09-30,-35373000.0
2022-04-01,2021-12-31,-13122000.0
2022-04-30,2022-03-31,-4014000.0
2022-08-31,2022-06-30,51484000.0
2022-10-27,2022-09-30,348795000.0
2023-03-31,2022-12-31,94516000.0
2023-04-28,2023-03-31,6193000.0
2023-08-31,2023-06-30,28445000.0
2023-10-28,2023-09-30,44729000.0
2024-03-28,2023-12-31,24064000.0
2024-04-27,2024-03-31,9634000.0
2024-08-31,2024-06-30,-4748000.0
2024-10-31,2024-09-30,-4808000.0
2025-03-22,2024-12-31,6050000.0
2025-04-26,2025-03-31,32644000.0
2025-08-23,2025-06-30,-1693000.0
2025-10-25,2025-09-30,-2836000.0
2026-03-25,2025-12-31,-18593000.0
