date,period,value
2020-04-29,2020-03-31,11001811.36
2020-08-28,2020-06-30,11343887.47
2020-10-29,2020-09-30,11210453.06
2021-04-15,2020-12-31,12547340.68
2021-04-29,2021-03-31,10185421.82
2021-08-27,2021-06-30,12610363.89
2021-10-28,2021-09-30,10341442.52
2022-03-31,2021-12-31,12326055.08
2022-04-28,2022-03-31,10220693.07
2022-08-30,2022-06-30,11722724.3
2022-10-28,2022-09-30,11274806.31
2023-03-30,2022-12-31,11853489.54
2023-04-27,2023-03-31,11707820.28
2023-08-30,2023-06-30,12232087.19
2023-10-28,2023-09-30,24665173.55
2024-03-29,2023-12-31,9306008.18
2024-04-26,2024-03-31,9175314.65
2024-08-30,2024-06-30,23048322.38
2024-10-30,2024-09-30,22563445.15
2025-03-28,2024-12-31,98772592.58
2025-04-29,2025-03-31,98058713.61
2025-08-28,2025-06-30,103029018.3
2025-10-31,2025-09-30,96630955.66
2026-03-27,2025-12-31,93826549.11
