date,period,value
2020-04-28,2020-03-31,561262672.27
2020-08-25,2020-06-30,873946601.06
2020-10-27,2020-09-30,1269171922.52
2021-03-27,2020-12-31,1837894452.98
2021-04-30,2021-03-31,667403404.45
2021-08-28,2021-06-30,1363925711.14
2021-10-30,2021-09-30,3696963499.03
2022-04-27,2021-12-31,2796154176.04
2022-04-30,2022-03-31,597905967.96
2022-08-20,2022-06-30,1476728860.49
2022-10-28,2022-09-30,2160268625.12
2023-04-11,2022-12-31,2956278968.51
2023-04-28,2023-03-31,767583629.69
2023-08-22,2023-06-30,1484166238.41
2023-10-31,2023-09-30,2518590797.65
2024-04-09,2023-12-31,3439474626.65
2024-04-27,2024-03-31,1252883508.47
2024-08-27,2024-06-30,2451786946.54
2024-10-31,2024-09-30,3812050842.29
2025-04-11,2024-12-31,4832244373.52
2025-04-29,2025-03-31,1139827369.85
2025-08-29,2025-06-30,2639546270.78
2025-10-30,2025-09-30,3562321329.7
2026-04-11,2025-12-31,4127422227.76
