date,period,value
2020-04-28,2020-03-31,11902316.65
2020-08-25,2020-06-30,24432737.78
2020-10-27,2020-09-30,37539297.65
2021-03-27,2020-12-31,49769674.02
2021-04-30,2021-03-31,15793109.53
2021-08-28,2021-06-30,34042722.37
2021-10-30,2021-09-30,49842793.92
2022-04-27,2021-12-31,66160823.36
2022-04-30,2022-03-31,19876570.66
2022-08-20,2022-06-30,44089873.15
2022-10-28,2022-09-30,63192066.17
2023-04-11,2022-12-31,82542524.16
2023-04-28,2023-03-31,17347227.14
2023-08-22,2023-06-30,37752561.37
2023-10-31,2023-09-30,53131606.9
2024-04-09,2023-12-31,86852603.58
2024-04-27,2024-03-31,28149720.89
2024-08-27,2024-06-30,65589007.92
2024-10-31,2024-09-30,98729358.46
2025-04-11,2024-12-31,146987587.22
2025-04-29,2025-03-31,35795321.64
2025-08-29,2025-06-30,71002554.03
2025-10-30,2025-09-30,105936506.35
2026-04-11,2025-12-31,145367327.66
