date,period,value
2021-07-01,2020-12-31,121300988.58
2022-01-12,2021-06-30,194347766.76
2022-09-05,2021-12-31,148384114.04
2022-09-05,2022-06-30,185909099.17
2022-10-31,2022-09-30,177148371.71
2023-04-22,2022-12-31,158397428.23
2023-04-22,2023-03-31,172652030.92
2023-08-11,2023-06-30,182799002.89
2023-10-27,2023-09-30,136722622.77
2024-04-20,2023-12-31,86014948.03
2024-04-20,2024-03-31,134690750.86
2024-08-17,2024-06-30,134809597.74
2024-10-25,2024-09-30,198582922.97
2025-04-18,2024-12-31,128352373.64
2025-04-18,2025-03-31,138150620.56
2025-08-23,2025-06-30,211223459.79
2025-10-25,2025-09-30,152600338.09
