date,period,value
2020-04-28,2020-03-31,71608474.58
2020-08-12,2020-06-30,107159200.37
2020-10-20,2020-09-30,88121584.03
2021-04-20,2020-12-31,117876624.73
2021-04-20,2021-03-31,125497465.99
2021-08-18,2021-06-30,163179074.87
2021-10-23,2021-09-30,219826024.9
2022-04-16,2021-12-31,333760457.06
2022-04-16,2022-03-31,338992679.93
2022-08-23,2022-06-30,411326860.13
2022-10-27,2022-09-30,256886275.5
2023-04-07,2022-12-31,330266556.91
2023-04-29,2023-03-31,326963712.57
2023-08-30,2023-06-30,457472058.62
2023-10-28,2023-09-30,151941678.44
2024-04-20,2023-12-31,143617747.59
2024-04-20,2024-03-31,201427836.88
2024-08-24,2024-06-30,306519234.75
2024-10-26,2024-09-30,441935286.05
2025-04-18,2024-12-31,571543040.42
2025-04-18,2025-03-31,600889442.75
2025-08-23,2025-06-30,440031688.61
2025-10-29,2025-09-30,559253909.8
