date,period,value
2020-04-29,2020-03-31,1447852.74
2020-08-25,2020-06-30,4037799.77
2020-10-30,2020-09-30,6474062.0
2021-04-20,2020-12-31,7618509.8
2021-04-29,2021-03-31,1723345.02
2021-08-24,2021-06-30,8555425.48
2021-10-26,2021-09-30,10827178.55
2022-04-16,2021-12-31,13499974.85
2022-04-29,2022-03-31,4770807.23
2022-08-24,2022-06-30,7763269.51
2022-10-29,2022-09-30,7204978.02
2023-04-25,2022-12-31,11839608.99
2023-04-25,2023-03-31,2345946.87
2023-08-15,2023-06-30,5362807.72
2023-10-26,2023-09-30,8147989.36
2024-04-23,2023-12-31,12169898.19
2024-04-23,2024-03-31,3171160.98
2024-08-27,2024-06-30,7201896.71
2024-10-22,2024-09-30,11103595.34
2025-04-24,2024-12-31,16154225.88
2025-04-29,2025-03-31,3900521.38
2025-08-15,2025-06-30,9017251.19
2025-10-24,2025-09-30,14104342.67
