date,period,value
2020-04-28,2020-03-31,547870825.0
2020-07-31,2020-06-30,537501999.85
2020-10-27,2020-09-30,548360366.94
2021-04-27,2020-12-31,641721410.11
2021-04-28,2021-03-31,646167592.88
2021-07-29,2021-06-30,700376347.42
2021-10-29,2021-09-30,702573531.58
2022-04-26,2021-12-31,707001622.34
2022-04-26,2022-03-31,706998378.24
2022-08-23,2022-06-30,707859732.19
2022-10-19,2022-09-30,805602030.7
2023-03-28,2022-12-31,829232826.27
2023-04-29,2023-03-31,841613032.17
2023-08-18,2023-06-30,853652582.17
2023-10-31,2023-09-30,1050885832.17
2024-04-30,2023-12-31,1109567859.23
2024-04-30,2024-03-31,1145727245.9
2024-08-10,2024-06-30,1183913832.56
2024-10-31,2024-09-30,1219196923.45
2025-04-30,2024-12-31,1295345497.12
2025-04-30,2025-03-31,1304175008.37
2025-08-29,2025-06-30,1238730681.28
2025-10-30,2025-09-30,1243780623.73
