date,period,value
2020-04-28,2020-03-31,8700000.0
2020-07-31,2020-06-30,2200000.0
2020-10-27,2020-09-30,2100000.0
2021-04-27,2020-12-31,31100000.0
2021-04-28,2021-03-31,17100000.0
2021-07-29,2021-06-30,25800000.0
2021-10-29,2021-09-30,16600000.0
2022-04-26,2021-12-31,79000000.0
2022-04-26,2022-03-31,65435344.52
2022-08-23,2022-06-30,41935344.52
2022-10-19,2022-09-30,48000000.0
2023-03-28,2022-12-31,21594088.62
2023-04-29,2023-03-31,19594088.62
2023-08-18,2023-06-30,56453025.33
2023-10-31,2023-09-30,130801612.96
2024-04-30,2023-12-31,250068237.68
2024-04-30,2024-03-31,130679773.88
2024-08-10,2024-06-30,139609648.97
2024-10-31,2024-09-30,145339712.77
2025-04-30,2024-12-31,10098695.65
2025-04-30,2025-03-31,9098695.65
2025-08-29,2025-06-30,4140169.33
2025-10-30,2025-09-30,44092542.0
