date,period,value
2020-04-21,2020-03-31,4899467.0
2020-08-04,2020-06-30,7785693.35
2020-10-20,2020-09-30,10554307.2
2021-03-23,2020-12-31,18844076.76
2021-04-27,2021-03-31,2444412.77
2021-07-30,2021-06-30,5504194.18
2021-10-29,2021-09-30,9126554.52
2022-03-23,2021-12-31,18342076.5
2022-04-28,2022-03-31,3614144.1
2022-08-26,2022-06-30,8287873.17
2022-10-31,2022-09-30,12410978.09
2023-03-08,2022-12-31,16783316.35
2023-04-28,2023-03-31,3741002.9
2023-08-30,2023-06-30,16375435.62
2023-10-24,2023-09-30,23844225.56
2024-04-26,2023-12-31,39082257.96
2024-04-26,2024-03-31,18174191.63
2024-08-30,2024-06-30,42638462.75
2024-10-30,2024-09-30,56307865.76
2025-04-25,2024-12-31,81621795.07
2025-04-25,2025-03-31,10886071.51
2025-08-28,2025-06-30,25896839.24
2025-10-31,2025-09-30,34304548.27
