date,period,value
2020-04-24,2020-03-31,660120000.0
2020-08-28,2020-06-30,1052700000.0
2020-10-29,2020-09-30,1437230000.0
2021-04-29,2020-12-31,1878997000.0
2021-04-29,2021-03-31,606921000.0
2021-08-20,2021-06-30,1141132000.0
2021-10-30,2021-09-30,1677452000.0
2022-04-28,2021-12-31,2197437000.0
2022-04-28,2022-03-31,873396000.0
2022-08-18,2022-06-30,1441142000.0
2022-10-28,2022-09-30,2043839000.0
2023-04-28,2022-12-31,2588228000.0
2023-04-28,2023-03-31,947181000.0
2023-08-29,2023-06-30,1521697000.0
2023-10-31,2023-09-30,2038929000.0
2024-04-27,2023-12-31,2527651000.0
2024-04-27,2024-03-31,1310314000.0
2024-08-28,2024-06-30,1887280000.0
2024-10-30,2024-09-30,2399691000.0
2025-04-30,2024-12-31,2940865000.0
2025-04-30,2025-03-31,969175000.0
2025-08-28,2025-06-30,1656609000.0
2025-10-30,2025-09-30,2202662000.0
