date,period,value
2020-04-23,2020-03-31,49661673.06
2020-08-20,2020-06-30,49352096.85
2020-10-22,2020-09-30,49042520.64
2021-03-25,2020-12-31,48751281.67
2021-04-15,2021-03-31,48466057.87
2021-08-26,2021-06-30,48180834.07
2021-10-30,2021-09-30,47895610.27
2022-03-30,2021-12-31,47610386.87
2022-04-21,2022-03-31,47325163.07
2022-08-26,2022-06-30,251798002.9
2022-10-28,2022-09-30,250530710.65
2023-04-26,2022-12-31,249214129.55
2023-04-26,2023-03-31,247897548.77
2023-08-26,2023-06-30,246580967.99
2023-10-28,2023-09-30,245264387.21
2024-04-25,2023-12-31,244194056.4
2024-04-25,2024-03-31,244108749.53
2024-08-22,2024-06-30,242713957.43
2024-10-30,2024-09-30,241319165.33
2025-04-25,2024-12-31,239924373.23
2025-04-25,2025-03-31,238529581.13
2025-08-27,2025-06-30,237134789.03
2025-10-30,2025-09-30,235847419.06
