date,period,value
2020-04-29,2020-03-31,716155.09
2020-08-31,2020-06-30,728947.21
2020-10-30,2020-09-30,-962194.92
2021-04-22,2020-12-31,-2934177.01
2021-04-29,2021-03-31,213318.26
2021-08-26,2021-06-30,-557176.21
2021-10-28,2021-09-30,-459151.77
2022-04-13,2021-12-31,-1538375.67
2022-04-29,2022-03-31,-476546.81
2022-08-25,2022-06-30,2268304.19
2022-10-26,2022-09-30,6061111.2
2023-04-08,2022-12-31,6157851.5
2023-04-26,2023-03-31,-1731300.63
2023-08-29,2023-06-30,3722738.14
2023-10-27,2023-09-30,2694107.43
2024-03-29,2023-12-31,1373250.74
2024-04-30,2024-03-31,33783.12
2024-08-29,2024-06-30,786993.48
2024-10-30,2024-09-30,1949177.59
2025-03-29,2024-12-31,5115643.17
2025-04-25,2025-03-31,312331.84
2025-08-30,2025-06-30,3192799.41
2025-10-30,2025-09-30,7011884.54
2026-03-31,2025-12-31,12800214.24
