date,period,value
2020-04-29,2020-03-31,33074707.52
2020-08-26,2020-06-30,129171726.49
2020-10-22,2020-09-30,238390876.66
2021-04-28,2020-12-31,379339150.04
2021-04-28,2021-03-31,93295524.19
2021-08-17,2021-06-30,273754710.51
2021-10-29,2021-09-30,472082866.15
2022-04-20,2021-12-31,633121099.38
2022-04-20,2022-03-31,206478271.34
2022-08-05,2022-06-30,467614976.8
2022-10-26,2022-09-30,744796314.27
2023-04-28,2022-12-31,921479536.8
2023-04-28,2023-03-31,280874570.57
2023-08-15,2023-06-30,627461257.88
2023-10-28,2023-09-30,970221909.79
2024-04-09,2023-12-31,1033424107.4
2024-04-25,2024-03-31,238535809.13
2024-08-27,2024-06-30,477324339.81
2024-10-25,2024-09-30,628981441.03
2025-04-11,2024-12-31,613290089.09
2025-04-15,2025-03-31,253262352.6
2025-08-06,2025-06-30,533894035.18
2025-10-16,2025-09-30,752435984.63
