date,period,value
2020-10-17,2020-09-30,148315570.52
2021-04-01,2020-12-31,217301539.57
2021-04-16,2021-03-31,241532529.47
2021-07-28,2021-06-30,280492788.24
2021-10-30,2021-09-30,252459354.69
2022-03-12,2021-12-31,231458552.56
2022-04-30,2022-03-31,242756251.66
2022-08-20,2022-06-30,362890276.93
2022-10-29,2022-09-30,392715974.59
2023-03-30,2022-12-31,438744942.29
2023-04-29,2023-03-31,455099234.91
2023-08-31,2023-06-30,444709610.29
2023-10-28,2023-09-30,414793712.92
2024-03-23,2023-12-31,386175890.5
2024-04-30,2024-03-31,377091554.69
2024-08-31,2024-06-30,467626998.0
2024-10-31,2024-09-30,530972026.42
2025-03-22,2024-12-31,568796380.57
2025-04-26,2025-03-31,588264666.1
2025-08-30,2025-06-30,606306427.1
2025-10-25,2025-09-30,682131306.5
