date,period,value
2020-10-17,2020-09-30,2739191.1
2021-04-01,2020-12-31,4777926.2
2021-04-16,2021-03-31,-99702.66
2021-07-28,2021-06-30,-10516755.64
2021-10-30,2021-09-30,-15918802.06
2022-03-12,2021-12-31,-50857628.2
2022-04-30,2022-03-31,-21665217.09
2022-08-20,2022-06-30,-35623721.17
2022-10-29,2022-09-30,-38142686.52
2023-03-30,2022-12-31,-45955299.75
2023-04-29,2023-03-31,-24173521.22
2023-08-31,2023-06-30,-42502886.93
2023-10-28,2023-09-30,-62534062.13
2024-03-23,2023-12-31,-97449802.55
2024-04-30,2024-03-31,-32411213.73
2024-08-31,2024-06-30,-36309823.84
2024-10-31,2024-09-30,-40688221.94
2025-03-22,2024-12-31,-50475264.57
2025-04-26,2025-03-31,-13883498.73
2025-08-30,2025-06-30,-36954073.78
2025-10-25,2025-09-30,-55651034.84
