date,period,value
2020-04-22,2020-03-31,147954361.31
2020-08-28,2020-06-30,83969774.7
2020-10-30,2020-09-30,128526709.82
2021-03-31,2020-12-31,155053119.12
2021-04-27,2021-03-31,146090221.93
2021-08-30,2021-06-30,230643594.37
2021-10-28,2021-09-30,452240564.52
2022-04-28,2021-12-31,332515166.9
2022-04-28,2022-03-31,252145744.75
2022-08-19,2022-06-30,372640124.06
2022-10-26,2022-09-30,341901434.98
2023-04-27,2022-12-31,301401099.08
2023-04-27,2023-03-31,322096437.59
2023-08-29,2023-06-30,291195016.01
2023-10-26,2023-09-30,269930833.44
2024-04-19,2023-12-31,442636967.54
2024-04-29,2024-03-31,467342405.24
2024-08-28,2024-06-30,217065961.0
2024-10-30,2024-09-30,184302965.78
2025-04-15,2024-12-31,308969115.19
2025-04-25,2025-03-31,308464792.52
2025-08-15,2025-06-30,279449877.59
2025-10-28,2025-09-30,299888310.08
