date,period,value
2020-04-28,2020-03-31,35244609.65
2020-08-27,2020-06-30,71548922.02
2020-10-24,2020-09-30,111393273.54
2021-04-21,2020-12-31,146890851.69
2021-04-28,2021-03-31,43781396.11
2021-08-17,2021-06-30,84096429.43
2021-10-30,2021-09-30,128297576.84
2022-04-23,2021-12-31,170138812.11
2022-04-30,2022-03-31,44516227.11
2022-08-27,2022-06-30,95132373.6
2022-10-29,2022-09-30,150583054.93
2023-04-22,2022-12-31,218803487.22
2023-04-29,2023-03-31,56746013.4
2023-08-30,2023-06-30,115329050.46
2023-10-31,2023-09-30,177539282.76
2024-04-20,2023-12-31,229606399.91
2024-04-27,2024-03-31,51492621.72
2024-08-31,2024-06-30,103847229.17
2024-10-31,2024-09-30,157616847.6
2025-04-19,2024-12-31,203179583.12
2025-04-26,2025-03-31,47443659.62
2025-08-28,2025-06-30,95916102.78
2025-10-31,2025-09-30,145361532.18
