date,period,value
2020-08-25,2020-06-30,29500000.0
2020-10-30,2020-09-30,42400000.0
2021-03-24,2020-12-31,42400000.0
2021-08-14,2021-06-30,3200000.0
2021-10-28,2021-09-30,220086784.69
2022-04-21,2021-12-31,226886784.69
2022-08-05,2022-06-30,7955150.0
2022-10-22,2022-09-30,17240150.0
2023-04-20,2022-12-31,17240150.0
2023-08-18,2023-06-30,3189787.2
2023-10-28,2023-09-30,3866250.6
2024-04-20,2023-12-31,4864865.76
2024-04-20,2024-03-31,862913.52
2024-08-24,2024-06-30,1858977.0
2024-10-30,2024-09-30,1858977.0
2025-04-25,2024-12-31,1858977.0
2025-04-25,2025-03-31,4809600.0
2025-08-22,2025-06-30,4809600.0
2025-10-30,2025-09-30,4809600.0
