date,period,value
2020-04-29,2020-03-31,48874776.22
2020-08-25,2020-06-30,232697731.35
2020-10-30,2020-09-30,337717980.55
2021-03-24,2020-12-31,415624124.07
2021-04-20,2021-03-31,68232583.69
2021-08-14,2021-06-30,130428761.01
2021-10-28,2021-09-30,234520645.42
2022-04-21,2021-12-31,416626020.3
2022-04-29,2022-03-31,237754784.36
2022-08-05,2022-06-30,388248572.85
2022-10-22,2022-09-30,582687256.7
2023-04-20,2022-12-31,744684061.42
2023-04-28,2023-03-31,88834134.0
2023-08-18,2023-06-30,158324688.59
2023-10-28,2023-09-30,262943447.86
2024-04-20,2023-12-31,276298014.92
2024-04-20,2024-03-31,39087170.42
2024-08-24,2024-06-30,105134070.34
2024-10-30,2024-09-30,155390738.8
2025-04-25,2024-12-31,165877802.31
2025-04-25,2025-03-31,20937572.1
2025-08-22,2025-06-30,36702113.23
2025-10-30,2025-09-30,45830476.85
