date,period,value
2020-04-29,2020-03-31,214450164.78
2020-08-25,2020-06-30,209226444.63
2020-10-30,2020-09-30,187508415.91
2021-03-24,2020-12-31,217270155.84
2021-04-20,2021-03-31,246381469.5
2021-08-14,2021-06-30,221057414.96
2021-10-28,2021-09-30,201946469.89
2022-04-21,2021-12-31,180648227.71
2022-04-29,2022-03-31,209938340.98
2022-08-05,2022-06-30,250098122.59
2022-10-22,2022-09-30,287380427.23
2023-04-20,2022-12-31,204647139.03
2023-04-28,2023-03-31,328316855.58
2023-08-18,2023-06-30,384061941.17
2023-10-28,2023-09-30,367623384.61
2024-04-20,2023-12-31,347962125.65
2024-04-20,2024-03-31,390031377.91
2024-08-24,2024-06-30,431439251.08
2024-10-30,2024-09-30,432420829.08
2025-04-25,2024-12-31,322650422.96
2025-04-25,2025-03-31,309101850.54
2025-08-22,2025-06-30,401715786.63
2025-10-30,2025-09-30,386982069.04
