date,period,value
2020-04-29,2020-03-31,1074630.38
2020-08-08,2020-06-30,5497019.27
2020-10-24,2020-09-30,7116504.27
2021-04-28,2020-12-31,65984644.03
2021-04-28,2021-03-31,73676308.54
2021-08-25,2021-06-30,79545703.13
2021-10-28,2021-09-30,97849192.25
2022-03-23,2021-12-31,104270062.23
2022-04-28,2022-03-31,11553704.51
2022-08-27,2022-06-30,40335306.82
2022-10-28,2022-09-30,52191973.42
2023-03-22,2022-12-31,64522280.23
2023-04-28,2023-03-31,4272214.32
2023-08-19,2023-06-30,41098724.73
2023-10-28,2023-09-30,64297950.15
2024-03-19,2023-12-31,62882254.46
2024-04-27,2024-03-31,20821196.28
2024-08-20,2024-06-30,31750465.46
2024-10-29,2024-09-30,37465939.82
2025-03-22,2024-12-31,57991982.59
2025-04-29,2025-03-31,9164584.22
2025-08-23,2025-06-30,14063457.6
2025-10-30,2025-09-30,73556898.16
2026-03-31,2025-12-31,95074546.55
