date,period,value
2020-04-30,2020-03-31,1576394459.35
2020-08-28,2020-06-30,1485264305.26
2020-10-30,2020-09-30,1592076689.34
2021-04-29,2020-12-31,1342097532.59
2021-04-29,2021-03-31,1267625477.5
2021-08-26,2021-06-30,1034085231.15
2021-10-28,2021-09-30,786576090.72
2022-04-29,2021-12-31,392336433.86
2022-04-29,2022-03-31,577459716.54
2022-08-23,2022-06-30,563879121.85
2022-10-29,2022-09-30,1048646914.43
2023-04-28,2022-12-31,1223300586.43
2023-04-28,2023-03-31,1295512531.29
2023-08-31,2023-06-30,1396895803.7
2023-10-28,2023-09-30,1634300429.77
2024-04-23,2023-12-31,1534429100.29
2024-04-30,2024-03-31,1393268840.99
2024-08-31,2024-06-30,1207922804.8
2024-10-31,2024-09-30,1146115369.82
2025-04-29,2024-12-31,728887775.58
2025-04-30,2025-03-31,703622463.56
2025-08-30,2025-06-30,531694709.12
2025-10-31,2025-09-30,443381631.41
