date,period,value
2020-04-28,2020-03-31,5726601.0
2020-08-21,2020-06-30,12324643.0
2020-10-30,2020-09-30,16254643.0
2021-04-28,2020-12-31,18828592.0
2021-04-28,2021-03-31,9800000.0
2021-08-18,2021-06-30,5103468.0
2021-10-30,2021-09-30,5103468.0
2022-04-29,2021-12-31,16120792.0
2022-04-29,2022-03-31,136000.0
2022-08-30,2022-06-30,391027.0
2022-10-29,2022-09-30,391027.0
2023-04-28,2022-12-31,928676.0
2024-04-30,2023-12-31,239154.0
2024-08-30,2024-06-30,3458326.0
2024-10-30,2024-09-30,3937499.0
2025-04-30,2024-12-31,3075060.0
2025-10-29,2025-09-30,31746.0
