date,period,value
2021-04-28,2021-03-31,1364295.48
2021-08-28,2021-06-30,1380528.37
2021-10-30,2021-09-30,1396954.42
2022-04-28,2021-12-31,1413575.9
2022-04-28,2022-03-31,2430425.11
2022-08-27,2022-06-30,1944469.72
2022-10-28,2022-09-30,1967617.51
2023-04-28,2022-12-31,2021249.77
2023-04-28,2023-03-31,1366762.47
2023-08-29,2023-06-30,612551.74
2023-10-28,2023-09-30,496367.77
2024-04-27,2023-12-31,2446734.31
2024-04-27,2024-03-31,2488480.77
2024-08-30,2024-06-30,3184823.95
2024-10-30,2024-09-30,2446955.88
2025-04-29,2024-12-31,2590733.69
2025-04-29,2025-03-31,2592390.59
2025-08-29,2025-06-30,2386743.24
2025-10-30,2025-09-30,3011350.04
