date,period,value
2020-04-30,2020-03-31,1139958834.34
2020-08-14,2020-06-30,1145999589.64
2020-10-30,2020-09-30,1152040344.94
2021-04-01,2020-12-31,1157975981.26
2021-04-29,2021-03-31,1164299852.29
2021-08-13,2021-06-30,810095219.77
2021-10-28,2021-09-30,576752511.22
2022-03-31,2021-12-31,426143895.56
2022-04-29,2022-03-31,427378228.05
2022-08-12,2022-06-30,430535398.91
2022-10-28,2022-09-30,432878695.0
2023-03-31,2022-12-31,433337971.05
2023-04-28,2023-03-31,361611664.1
2023-08-31,2023-06-30,287231266.57
2023-10-31,2023-09-30,161308308.43
2024-04-26,2023-12-31,90548372.56
2024-04-30,2024-03-31,50347568.11
2024-08-15,2024-06-30,50653029.76
2024-10-31,2024-09-30,50958491.41
