date,period,value
2020-08-05,2020-06-30,1000000.0
2020-10-30,2020-09-30,1000000.0
2021-04-28,2020-12-31,1000000.0
2021-04-28,2021-03-31,1000000.0
2021-08-30,2021-06-30,88350000.0
2021-10-28,2021-09-30,88350000.0
2022-03-16,2021-12-31,88350000.0
2022-04-30,2022-03-31,88350000.0
2022-08-31,2022-06-30,88350000.0
2022-10-28,2022-09-30,88350000.0
2023-04-28,2022-12-31,87350000.0
2023-04-28,2023-03-31,87350000.0
2023-08-16,2023-06-30,87350000.0
2023-10-31,2023-09-30,87350000.0
2024-04-30,2023-12-31,87350000.0
2024-04-30,2024-03-31,87350000.0
2024-08-31,2024-06-30,87350000.0
2024-10-30,2024-09-30,87350000.0
