date,period,value
2020-08-05,2020-06-30,2362591.67
2020-10-30,2020-09-30,2456689.29
2021-04-28,2020-12-31,2285855.95
2021-04-28,2021-03-31,3885855.95
2021-08-30,2021-06-30,3988899.95
2021-10-28,2021-09-30,3452155.95
2022-03-16,2021-12-31,4252155.95
2022-04-30,2022-03-31,3552155.95
2022-08-31,2022-06-30,4937744.79
2022-10-28,2022-09-30,3623509.02
2023-04-28,2022-12-31,11315172.03
2023-04-28,2023-03-31,3913471.68
2023-08-16,2023-06-30,4300917.44
2023-10-31,2023-09-30,7139846.85
2024-04-30,2023-12-31,4077201.14
2024-04-30,2024-03-31,1944037.31
2024-08-31,2024-06-30,1881856.67
2024-10-30,2024-09-30,1830056.67
2025-04-29,2024-12-31,12339059.79
2025-04-29,2025-03-31,12502836.2
2025-08-30,2025-06-30,13049036.2
2025-10-30,2025-09-30,13191542.46
2026-03-18,2025-12-31,13596298.76
