date,period,value
2020-09-04,2020-06-30,2522495194.0
2020-10-30,2020-09-30,4438739053.0
2021-03-31,2020-12-31,4722596768.55
2021-04-30,2020-03-31,661088278.13
2021-04-30,2021-03-31,132288005.6
2021-08-27,2021-06-30,226729603.42
2021-10-29,2021-09-30,898710806.57
2022-03-31,2021-12-31,1822634580.83
2022-04-29,2022-03-31,115760723.43
2022-08-26,2022-06-30,1639194468.52
2022-10-27,2022-09-30,3273635531.83
2023-04-01,2022-12-31,5050397763.84
2023-04-27,2023-03-31,1756402858.91
2023-08-31,2023-06-30,3407963028.78
2023-10-31,2023-09-30,4479237167.86
2024-03-07,2023-12-31,5677634858.73
2024-04-27,2024-03-31,661018928.36
2024-08-27,2024-06-30,1626516649.36
2024-10-31,2024-09-30,2712436673.94
2025-03-27,2024-12-31,3408219728.61
2025-04-23,2025-03-31,388090749.91
2025-08-19,2025-06-30,1101137962.49
2025-10-30,2025-09-30,1755098788.11
2026-03-28,2025-12-31,2448123529.9
