date,period,value
2020-11-12,2020-06-30,1461872.74
2021-07-14,2020-12-31,34782.6
2021-07-14,2021-03-31,-167081.52
2021-10-19,2020-09-30,594131.94
2022-04-16,2021-12-31,6257095.89
2023-04-15,2022-12-31,4558309.04
2023-07-29,2023-06-30,3637513.71
2024-04-16,2023-12-31,10342212.44
2024-04-16,2024-03-31,-380316.73
2024-08-30,2024-06-30,5811583.22
2024-10-19,2024-09-30,10138187.08
2025-03-28,2024-12-31,14402252.11
2025-04-16,2025-03-31,4230002.74
2025-07-30,2025-06-30,8941286.24
2025-10-17,2025-09-30,7293137.28
2026-03-28,2025-12-31,12922936.6
