date,period,value
2020-04-29,2020-03-31,54959066.48
2020-08-28,2020-06-30,227167246.0
2020-10-28,2020-09-30,357976519.42
2021-04-16,2020-12-31,425498664.31
2021-04-30,2021-03-31,56078406.06
2021-08-31,2021-06-30,143084970.01
2021-10-28,2021-09-30,263158466.01
2022-04-30,2021-12-31,253643081.55
2022-04-30,2022-03-31,103827211.67
2022-08-30,2022-06-30,269730134.39
2022-10-28,2022-09-30,426403502.35
2023-04-27,2022-12-31,550788927.74
2023-04-27,2023-03-31,236847886.54
2023-08-31,2023-06-30,540621829.92
2023-10-31,2023-09-30,802816334.77
2024-04-26,2023-12-31,909665077.6
2024-04-26,2024-03-31,187197400.35
2024-08-30,2024-06-30,279731031.03
2024-10-31,2024-09-30,389198929.34
2025-04-29,2024-12-31,336262412.55
2025-04-29,2025-03-31,122688161.04
2025-08-29,2025-06-30,299985513.02
2025-10-28,2025-09-30,406174003.45
