date,period,value
2020-09-15,2020-06-30,29037995.75
2020-12-10,2020-09-30,49881614.28
2021-04-28,2020-03-31,18131784.58
2021-04-28,2020-12-31,71033178.76
2021-04-28,2021-03-31,10231562.46
2021-08-20,2021-06-30,22511530.83
2021-10-22,2021-09-30,50170264.58
2022-04-08,2021-12-31,87078996.85
2022-04-26,2022-03-31,14547726.09
2022-08-26,2022-06-30,53073534.57
2022-10-20,2022-09-30,102220342.62
2023-04-12,2022-12-31,193428115.01
2023-04-26,2023-03-31,159215591.28
2023-08-26,2023-06-30,264728110.51
2023-10-28,2023-09-30,284494861.77
2024-04-12,2023-12-31,337006638.94
2024-04-27,2024-03-31,11974949.04
2024-08-24,2024-06-30,65017797.08
2024-10-26,2024-09-30,108447695.13
2025-04-12,2024-12-31,154465395.32
2025-04-22,2025-03-31,7187369.34
2025-08-22,2025-06-30,13825118.44
2025-10-24,2025-09-30,34675507.31
2026-04-01,2025-12-31,59605374.32
