date,period,value
2020-04-23,2020-03-31,1088089.24
2020-08-26,2020-06-30,1411008.63
2020-10-30,2020-09-30,1431194.02
2021-04-24,2020-12-31,2004802.32
2021-04-24,2021-03-31,2004802.32
2021-08-26,2021-06-30,1824067.45
2021-10-30,2021-09-30,1705184.19
2022-04-28,2021-12-31,4410138.29
2022-04-28,2022-03-31,4410138.29
2022-08-26,2022-06-30,6671709.8
2022-10-25,2022-09-30,7568392.96
2023-04-28,2022-12-31,9324346.23
2023-04-28,2023-03-31,9324346.23
2023-08-30,2023-06-30,9681331.52
2023-10-31,2023-09-30,8124502.93
2025-08-30,2025-06-30,446.07
