date,period,value
2020-10-12,2020-06-30,5434887.89
2021-02-19,2020-09-30,8166855.23
2021-02-19,2020-12-31,10842466.68
2021-04-20,2020-03-31,650505.21
2021-04-20,2021-03-31,409826.04
2021-08-05,2021-06-30,9013892.06
2021-10-23,2021-09-30,14727851.31
2022-04-12,2021-12-31,17472185.45
2022-04-16,2022-03-31,2935410.91
2022-08-06,2022-06-30,5967812.75
2022-10-29,2022-09-30,7141457.62
2023-04-29,2022-12-31,11516981.73
2023-04-29,2023-03-31,1917014.35
2023-08-05,2023-06-30,8983281.62
2023-10-21,2023-09-30,11686209.15
2024-04-26,2023-12-31,20049508.3
2024-04-26,2024-03-31,1969513.73
2024-08-17,2024-06-30,6904026.29
2024-10-29,2024-09-30,6286406.83
2025-04-22,2024-12-31,9136444.66
2025-04-22,2025-03-31,60622.48
2025-08-30,2025-06-30,7019559.93
2025-10-25,2025-09-30,8457449.07
