date,period,value
2020-08-24,2020-03-31,-23998210.4
2021-02-25,2020-09-30,-172145447.83
2021-04-16,2020-12-31,-212638358.42
2021-08-31,2020-06-30,-411540769.88
2021-08-31,2021-06-30,-736315449.6
2022-04-26,2021-12-31,-589391047.22
2022-08-31,2022-06-30,-251520799.27
2023-04-20,2022-12-31,-7143170.37
2023-08-30,2023-06-30,-283768740.87
2024-04-24,2023-12-31,-56637403.36
2024-08-30,2024-06-30,-336890672.94
2025-04-26,2024-12-31,318775222.06
2025-08-27,2025-06-30,298315429.41
2026-04-11,2025-12-31,671561299.6
