date,period,value
2020-08-24,2020-03-31,-3030777.48
2021-02-25,2020-09-30,25887046.59
2021-04-16,2020-12-31,-36122296.59
2021-08-31,2020-06-30,-6017390.61
2021-08-31,2021-06-30,47209970.32
2022-04-26,2021-12-31,28143441.69
2022-08-31,2022-06-30,71014123.2
2023-04-20,2022-12-31,67373911.12
2023-08-30,2023-06-30,-35041329.97
2024-04-24,2023-12-31,-53342684.9
2024-08-30,2024-06-30,-9988811.1
2025-04-26,2024-12-31,81670247.43
2025-08-27,2025-06-30,5080958.25
2026-04-11,2025-12-31,-94013121.37
