date,period,value
2020-09-22,2020-06-30,9782122.37
2021-04-08,2020-12-31,9006783.68
2021-11-09,2021-06-30,10738275.9
2021-11-23,2021-09-30,10202840.13
2022-04-23,2021-12-31,7618890.2
2022-04-29,2022-03-31,8765511.32
2022-08-27,2022-06-30,9004228.9
2022-10-28,2022-09-30,9468770.94
2023-04-15,2022-12-31,7397189.01
2023-04-28,2023-03-31,7707358.98
2023-08-26,2023-06-30,8141384.26
2023-10-28,2023-09-30,8325110.68
2024-04-20,2023-12-31,9621184.17
2024-04-30,2024-03-31,9816857.2
2024-08-24,2024-06-30,10454697.17
2024-10-29,2024-09-30,9865663.6
2025-04-23,2024-12-31,9454018.53
2025-04-30,2025-03-31,9624413.29
2025-08-23,2025-06-30,10673094.87
2025-10-29,2025-09-30,10518915.59
