date,period,value
2022-06-23,2020-12-31,27937449.31
2022-06-23,2021-12-31,5856503.13
2022-10-13,2022-06-30,5856503.13
2023-03-31,2022-12-31,44182345.1
2023-04-28,2023-03-31,44182345.1
2023-08-26,2023-06-30,44201350.55
2023-10-28,2023-09-30,44201350.55
2024-04-20,2023-12-31,77687266.82
2024-04-20,2024-03-31,77687266.82
2024-08-24,2024-06-30,77687266.82
2024-10-31,2024-09-30,77687266.82
2025-04-26,2024-12-31,108099874.85
2025-04-26,2025-03-31,108099874.85
2025-08-23,2025-06-30,108099874.85
2025-10-25,2025-09-30,108099874.85
