date,period,value
2020-04-28,2020-03-31,12223645.7
2020-07-30,2020-06-30,37245026.69
2020-10-28,2020-09-30,55576332.45
2021-04-27,2020-12-31,73485000.03
2021-04-27,2021-03-31,29088156.08
2021-08-07,2021-06-30,51908266.29
2021-10-29,2021-09-30,76541416.35
2022-04-27,2021-12-31,78014922.81
2022-04-27,2022-03-31,35564653.26
2022-08-13,2022-06-30,56501300.23
2022-10-29,2022-09-30,71381724.15
2023-04-27,2022-12-31,59230011.95
2023-04-27,2023-03-31,26478253.09
2023-08-19,2023-06-30,41232767.66
2023-10-28,2023-09-30,54794209.66
2024-04-27,2023-12-31,54172969.29
2024-04-27,2024-03-31,26464633.23
2024-08-17,2024-06-30,41991051.92
2024-10-26,2024-09-30,53475376.21
2025-04-19,2024-12-31,58038149.01
2025-04-19,2025-03-31,26474531.59
2025-08-16,2025-06-30,39017765.28
2025-10-31,2025-09-30,53096129.69
2026-04-10,2025-12-31,60912629.22
