date,period,value
2020-06-22,2020-03-31,285529314.02
2020-08-31,2020-06-30,626700398.66
2020-10-30,2020-09-30,955100665.98
2021-04-23,2020-12-31,1315880739.09
2021-04-30,2021-03-31,320100353.88
2021-08-28,2021-06-30,647278704.32
2021-10-30,2021-09-30,909905148.72
2022-04-30,2021-12-31,1310468693.54
2022-04-30,2022-03-31,390291314.49
2022-08-30,2022-06-30,701294100.4
2022-10-29,2022-09-30,1049146463.19
2023-04-27,2022-12-31,1498287655.4
2023-04-29,2023-03-31,397805517.53
2023-08-31,2023-06-30,718861258.45
2023-10-31,2023-09-30,1061436392.22
2024-04-30,2023-12-31,1628142546.66
2024-04-30,2024-03-31,384015413.24
2024-08-30,2024-06-30,770175741.32
2024-10-31,2024-09-30,1189922159.9
2025-04-30,2024-12-31,1588898282.26
2025-04-30,2025-03-31,310176264.86
2025-08-29,2025-06-30,574054317.66
2025-10-31,2025-09-30,841279966.45
