date,period,value
2020-04-29,2020-03-31,323598749.04
2020-08-18,2020-06-30,323598749.04
2020-10-27,2020-09-30,323598749.04
2021-03-09,2020-12-31,323598749.04
2021-04-20,2021-03-31,824532133.59
2021-08-18,2021-06-30,824532133.59
2021-10-26,2021-09-30,824532133.59
2022-04-26,2021-12-31,824532133.59
2022-04-29,2022-03-31,704075184.14
2022-08-18,2022-06-30,704075184.14
2022-10-28,2022-09-30,704075184.14
2023-04-28,2022-12-31,704075184.14
2023-04-28,2023-03-31,1459624787.35
2023-08-26,2023-06-30,1431875592.8
2023-10-21,2023-09-30,1431875592.8
2024-03-30,2023-12-31,1431875592.8
2024-04-26,2024-03-31,1474409219.41
2024-08-02,2024-06-30,1474409219.41
2024-10-22,2024-09-30,1474409219.41
2025-03-29,2024-12-31,1474409219.41
2025-04-26,2025-03-31,1709958534.86
2025-08-16,2025-06-30,1709958534.86
2025-10-25,2025-09-30,1709958534.86
2026-03-21,2025-12-31,1709958534.86
