date,period,value
2020-07-30,2020-03-31,964787056.65
2021-02-09,2020-09-30,1190189589.99
2021-10-29,2020-12-31,1224410193.0
2021-10-29,2021-06-30,1067017614.41
2021-11-16,2021-09-30,1136410817.78
2022-04-13,2021-12-31,1188465823.3
2022-04-29,2022-03-31,898791693.66
2022-08-26,2022-06-30,925780742.84
2022-10-28,2022-09-30,941286108.98
2023-04-13,2022-12-31,1184648777.06
2023-04-28,2023-03-31,942083857.92
2023-08-25,2023-06-30,969258998.45
2023-10-27,2023-09-30,1043050054.91
2024-04-12,2023-12-31,1107770113.79
2024-04-26,2024-03-31,871125979.05
2024-08-28,2024-06-30,875403851.07
2024-10-26,2024-09-30,937261564.0
2025-04-12,2024-12-31,1090299461.76
2025-04-26,2025-03-31,866216885.32
2025-08-28,2025-06-30,895830945.35
2025-10-25,2025-09-30,984401022.9
2026-04-11,2025-12-31,1106990300.67
