date,period,value
2020-09-16,2020-06-30,538248.94
2021-06-08,2020-12-31,1645633.67
2022-01-18,2021-06-30,-2048000.0
2022-03-03,2020-09-30,628942.29
2022-03-03,2021-09-30,-2443124.18
2022-03-03,2021-12-31,-2825163.05
2022-04-28,2021-03-31,-1734030.62
2022-04-28,2022-03-31,-733508.23
2022-08-26,2022-06-30,686159.28
2022-10-28,2022-09-30,732534.63
2023-04-20,2022-12-31,1062830.29
2023-04-27,2023-03-31,812286.35
2023-08-25,2023-06-30,928440.4
2023-10-31,2023-09-30,930761.67
2024-04-19,2023-12-31,1023689.31
2025-04-19,2024-12-31,-192950.48
2025-08-23,2025-06-30,17281.23
2025-10-25,2025-09-30,17281.23
