date,period,value
2020-04-28,2020-03-31,71150836.45
2020-07-28,2020-06-30,67732624.22
2020-10-28,2020-09-30,63914989.44
2021-03-31,2020-12-31,61985095.9
2021-04-30,2021-03-31,70512832.1
2021-08-30,2021-06-30,68645719.21
2021-10-30,2021-09-30,68394725.6
2022-03-30,2021-12-31,78944167.54
2022-04-30,2022-03-31,78270712.98
2022-08-23,2022-06-30,77172953.08
2022-10-29,2022-09-30,76134153.93
2023-04-22,2022-12-31,86958824.88
2023-04-28,2023-03-31,82387160.25
2023-08-12,2023-06-30,77915495.65
2023-10-31,2023-09-30,77480433.89
2024-03-30,2023-12-31,77039652.13
2024-04-29,2024-03-31,78601730.37
2024-08-16,2024-06-30,78063808.61
2024-10-31,2024-09-30,82725886.85
2025-04-26,2024-12-31,83353127.26
2025-04-26,2025-03-31,82950436.98
2025-08-26,2025-06-30,102417613.4
2025-10-31,2025-09-30,99930534.57
2026-03-31,2025-12-31,101403753.62
