date,period,value
2021-05-10,2020-12-31,9900000.0
2022-01-06,2021-06-30,40000000.0
2022-05-27,2021-12-31,40000000.0
2022-06-28,2021-03-31,40000000.0
2022-10-28,2021-09-30,40000000.0
2023-04-25,2023-03-31,121166585.77
2023-08-25,2023-06-30,240395805.59
2023-10-31,2023-09-30,757662166.07
2024-04-10,2023-12-31,997165103.16
2024-04-26,2024-03-31,286973702.83
2024-08-14,2024-06-30,331494182.98
2024-10-30,2024-09-30,331494182.98
2025-04-09,2024-12-31,473685536.27
2025-04-30,2025-03-31,219425346.09
2025-08-29,2025-06-30,356280060.43
2025-10-29,2025-09-30,491299780.53
2026-04-09,2025-12-31,491299780.53
