date,period,value
2021-06-11,2020-12-31,341589835.64
2021-10-28,2021-06-30,334756996.58
2022-03-17,2021-12-31,341168799.57
2022-04-26,2022-03-31,391029312.59
2022-08-08,2022-06-30,506494927.84
2022-10-24,2022-09-30,550972701.14
2023-03-29,2022-12-31,605576133.44
2023-04-26,2023-03-31,693496195.52
2023-08-30,2023-06-30,718286819.79
2023-10-31,2023-09-30,713901567.89
2024-03-21,2023-12-31,838235294.47
2024-04-30,2024-03-31,960338418.17
2024-08-30,2024-06-30,990123658.04
2024-10-29,2024-09-30,1216369712.29
2025-04-01,2024-12-31,1184891028.96
2025-04-30,2025-03-31,1181517537.07
2025-08-28,2025-06-30,1201300784.84
2025-10-28,2025-09-30,1198141389.8
2026-03-26,2025-12-31,1179823244.93
