date,period,value
2020-12-08,2020-09-30,89455323.09
2021-07-30,2020-12-31,95442336.57
2023-01-11,2021-12-31,31402865.83
2023-01-11,2022-06-30,20273813.19
2023-03-16,2022-12-31,33686702.31
2023-04-29,2023-03-31,42834012.9
2023-08-31,2023-06-30,49707094.02
2023-10-28,2023-09-30,47257685.35
2024-04-26,2023-12-31,44887730.33
2024-04-26,2024-03-31,56586800.05
2024-08-27,2024-06-30,61591466.83
2024-10-29,2024-09-30,96714697.1
2025-04-26,2024-12-31,63748273.61
2025-04-26,2025-03-31,106306811.67
2025-08-27,2025-06-30,112280096.64
2025-10-31,2025-09-30,117842073.92
