date,period,value
2020-12-08,2020-09-30,-856515794.1
2021-07-30,2020-03-31,-66581400.0
2021-07-30,2020-12-31,-936213005.93
2021-07-30,2021-03-31,-47842700.0
2021-09-10,2020-06-30,-841258300.0
2021-09-10,2021-06-30,-57345500.0
2023-01-11,2021-09-30,-305442800.0
2023-01-11,2021-12-31,-389791961.45
2023-01-11,2022-06-30,-229885414.75
2023-03-16,2022-12-31,-435904176.32
2023-04-29,2022-03-31,-145773826.39
2023-04-29,2023-03-31,-90273958.0
2023-08-31,2023-06-30,-210541142.46
2023-10-28,2022-09-30,-338067810.03
2023-10-28,2023-09-30,-298347090.92
2024-04-26,2023-12-31,-383117186.32
2024-04-26,2024-03-31,-137817011.37
2024-08-27,2024-06-30,-309746592.49
2024-10-29,2024-09-30,-425300097.14
2025-04-26,2024-12-31,-579047039.3
2025-04-26,2025-03-31,-85641998.79
2025-08-27,2025-06-30,-205938236.62
2025-10-31,2025-09-30,-297909259.19
