date,period,value
2021-06-29,2020-12-31,60391307.72
2021-11-15,2021-06-30,39769454.58
2022-05-17,2021-12-31,96278666.75
2022-05-19,2021-03-31,22561983.79
2022-05-19,2022-03-31,20663603.04
2022-08-25,2022-06-30,38054834.93
2022-10-31,2021-09-30,58088957.84
2022-10-31,2022-09-30,96562948.8
2023-04-26,2022-12-31,130279256.66
2023-04-26,2023-03-31,25608964.7
2023-08-31,2023-06-30,57814847.61
2023-10-28,2023-09-30,84454301.58
2024-04-23,2023-12-31,233708256.37
2024-04-30,2024-03-31,41639088.52
2024-08-30,2024-06-30,92745425.08
2024-10-31,2024-09-30,137146896.12
2025-04-30,2024-12-31,250000504.24
2025-04-30,2025-03-31,18121522.05
2025-08-30,2025-06-30,95664749.12
2025-10-31,2025-09-30,127818150.22
