date,period,value
2021-06-29,2020-12-31,17940378.27
2021-11-15,2021-06-30,19621477.05
2022-05-17,2021-12-31,24049545.13
2022-05-19,2022-03-31,25909175.3
2022-08-25,2022-06-30,27342137.55
2022-10-31,2022-09-30,37625767.82
2023-04-26,2022-12-31,37944935.07
2023-04-26,2023-03-31,35304681.11
2023-08-31,2023-06-30,38551086.52
2023-10-28,2023-09-30,33227897.55
2024-04-23,2023-12-31,42214800.81
2024-04-30,2024-03-31,40653819.15
2024-08-30,2024-06-30,48138964.88
2024-10-31,2024-09-30,47430673.05
2025-04-30,2024-12-31,40356217.58
2025-04-30,2025-03-31,37937477.2
2025-08-30,2025-06-30,37435802.19
2025-10-31,2025-09-30,27659409.48
